__Title__,__URL__,Context Title,Context Name (Publication),Context Description,Context Name (Excavation),Culture/Period,Burial Type,Pottery Types,Skeletal Remains,Notes,Season Number,Location Type,Nissen Date,Abbreviation
Unknown,http://ur.iaas.upenn.edu/location/982/,Unknown,Unknown,Woolley did not list a location.
Ur,http://ur.iaas.upenn.edu/location/2/,Ur,Ur; Tell el-Muqayyar,When Woolley lists context only as 'Ur' on his object catalog cards he tends to mean that it was found somewhere within the confines of the city wall but no more specific than that. These are often surface finds that Woolley felt did not require more specific find spot information. Those found outside the city walls were typically recorded as 'brought in' followed by the name of the broad region from which they were brought in by the workers.
AH Site | AH,http://ur.iaas.upenn.edu/location/5/,AH Site | AH,AH Site,"In the southeast portion of the mound of Ur, Woolley excavated a large horizontal extent of domestic space roughly 115 x 85m. near the surface he found scattered Neo-Babylonian and Kassite remains and intrusive graves of the late periods but he did not publish these in detail nor are there any extant notes covering them. Instead, Woolley's main goal was to uncover the best preserved floorplans of houses. These he found several meters down, houses of the Isin-Larsa/Old Babylonian period. Because the Old Babylonian period was typically that associated with the potential time of Abraham, Woolley used the abbreviation AH (Abraham's Housing) to refer to this excavation area.

In the course of excavation of the Isin-Larsa/Old Babylonian levels Woolley numbered 27 'houses,' or excavation units. He renumbered the houses for publication based on the overall plan, preserved walls, and doors onto streets. In this way he showed there were 52 individual houses within his 27 excavation areas. However, houses were frequently altered throughout period, as families would knock out walls or block up doors, and thus true house numbers are difficult to establish. Woolley mentions phases of rebuilding, but states that he sought the best preserved floor plan and published the excavation of a particular house based on that plan alone. In some cases he noted deeper remains that may have gone back to the Ur III period. These levels he partially uncovered as he excavated graves beneath the Larsa period floors.

A great deal of baked brick was in use for walls of the Isin-Larsa/Old Babylonian period. Some houses used it in the lowest portion of a wall, but others used it for entire walls up to 3 meters in height. Town planning was not evident, as streets tended to wander in narrow and winding paths. Corners where streets met were often rounded, leading Woolley to surmise that this was to prevent problems with laden donkeys catching their wares on corners.
LG/38.7H | AHG/160A,http://ur.iaas.upenn.edu/location/728/,LG/38.7H | AHG/160A,Larsa Grave 38.7H,"Pictured on Plate 39b of UE7, which is
labeled incorrectly; the LG/38.7 group of burials all appear to be located on or through a LP floor; Woolley considered them all to be linked to this period although they were not assigned grave numbers; exact position of graves in Room 6 is known. In the unpublished notes,
Woolley states that these graves were ""not worth entering in the Tabular Analysis"" of UE7, even though they are associated with the LP; exact position of all of these graves is known.",AH Grave 160A,,Double pot burial,,"Double pot infant burial, in type 12c pots.",
LG/38.7I | AHG/160A,http://ur.iaas.upenn.edu/location/729/,LG/38.7I | AHG/160A,Larsa Grave 38.7I,"Pictured on Plate 39b of UE7, which is
labeled incorrectly; the LG/38.7 group of burials all appear to be located on or through a LP floor; Woolley considered them all to be linked to this period although they were not assigned grave numbers; exact position of graves in Room 6 is known. In the unpublished notes,
Woolley states that these graves were ""not worth entering in the Tabular Analysis"" of UE7, even though they are associated with the LP; exact position of all of these graves is known.",AH Grave 160A,,Double pot burial,,"Double pot infant burial, in type 12c pots.",
LG/39.5,http://ur.iaas.upenn.edu/location/730/,LG/39.5,Larsa Grave 39.5,,,,Not Recorded,,,
No. 2 Straight Street,http://ur.iaas.upenn.edu/location/91/,No. 2 Straight Street,No. 2 Straight Street,"Lying at the corner of Straight Street and Paternoster Row was a single-roomed building which can scarcely have been other than a shop. It was originally connected by a door in its NW wall with No. 4 Straight Street, but this had been walled up. The SE wall, which was not bonded at the south corner, was peculiarly badly built and in a very bad state of conservation, but at its south end there was in the outer face a reveal which, with the projecting angle of the next house seemed intended for a heavy wooden upright; if this were so it suggests that the front of the building on Paternoster Row was open, with a large wooden-framed window. The room was mud-floored.",House I,Isin-Larsa,,,,
No. 3 Straight Street,http://ur.iaas.upenn.edu/location/100/,No. 3 Straight Street,No. 3 Straight Street,"A large and in many respects a typical house, though its ground-plan was made somewhat irregular by the fact that it was built up against earlier houses and its site was not rectangular. It was well built, the burnt brickwork (bricks 0.27 m. X 0.165 m. X 0.075 m.) rising in the street wall to 1.70 m. and in the internal walls to 1.10 m. above pavement level; it had a long life and underwent a good many minor alterations and the walls were still in use after the floor had risen 1.85 m. above the original. Its foundation would seem to have been later than that of Nos. 3 and 5 Church Lane and of No. 5 Straight Street, judging by the bonding of the walls, but contemporary with the Hendur-sag chapel; the tablets found in its ruins ranged from the 27th year of Sulgi to the 15th year of Rim-Sin,3 2 and although the building probably did not itself go back to the Sulgi period it need not have been very much later (for the main walls of Nos. 3 and 5 Church Lane were of Third Dynasty date) and while the main floor level to which our excavations went down must come at least very early in the Larsa period the building as such shared in the general destruction of the quarter in the reign of Samsu-iluna.",,Isin-Larsa,,,,
P/17,http://ur.iaas.upenn.edu/location/929/,P/17,Persian Grave 17,,,,,,,
Room 1,http://ur.iaas.upenn.edu/location/469/,Room 1,Room 1,"Entrance Lobby; The front door had a brick threshold which was later raised to 0.70 m. and again to 0.90 m. above the old; the lobby (Room 1) was of irregular shape, brick-paved, and the NE wall had been remodelled; originally it seems to have been straight and had a doorway leading to Room 4, but this was blocked up and also the NW end of the wall was cut away and against its ragged end was built the curved wall which now made the room irregular and afforded space for the door in the NW wall opening on the central court. Against the SE wall were four vases of yellowish drab clay, Type IL. 44, and fragments of a saucer, Type IL. 8.",,,,,,
Room 10,http://ur.iaas.upenn.edu/location/478/,Room 10,Room 10,"Chapel; Room 10; behind the guest-rooms and approached through it and through Room 7 lay the domestic chapel, P1. 43a. It was brick-paved throughout (though in the middle the pavement was much destroyed) and from it at the SE end-rose the altar and ""table"". The altar consisted of two courses of burnt bricks with mud brick above and was 0.35 m. high, projecting 0.90 m. from the wall. On the same foundations stood the ""table"", of mud brick with the plaster moulded in panels to imitate wood still standing 1.00 m. high - originally it must have had a top of burnt brick making the total height 1.25 m. Behind the altar there was in the SE wall an incense-hearth in the form of a square recess with open chimney above; the floor of the recess (of burnt brick) was only just above the altar-top, it was 0.30 m. deep and 0.60 m. wide and 0.42 m. high, flat-topped and continued by a chimney 0.27 m. wide which ran to the full height of the standing wall, 2.40 m. (v. PI. 43a.) Under the floor, towards the north-west end of the room, there was a brick vaulted tomb and beside it a larnax burial, both empty, and in front of the ""table"" was an infant's burial in a terracotta ""hutch"" coffin virtually flush with the bricks of the pavement.",,,,,,
LG/22.5,http://ur.iaas.upenn.edu/location/928/,LG/22.5,Larsa Grave 22.5,,,,Vaulted Tomb,,,
LG/22.6,http://ur.iaas.upenn.edu/location/693/,LG/22.6,Larsa Grave 22.6,,,,Larnax,,,
LG/22.7,http://ur.iaas.upenn.edu/location/694/,LG/22.7,Larsa Grave 22.7,"LG/22.7 is flush with the bricks of
pavement of ""early"" phase of two-phase occupational sequence; exact position in room is known (in front of raised table).",,,"""Hutch"" burial",,"Infant ""hutch"" burial",
Room 11,http://ur.iaas.upenn.edu/location/479/,Room 11,Room 11,,,,,,,
Room 12,http://ur.iaas.upenn.edu/location/480/,Room 12,Room 12,"Room 12, opening out of the kitchen, was an addition to the original building, its SW wall abutting on the front wall of the house; in this there had been a door, subsequently blocked. The floor was of earth and the NE wall was only a thin mud-brick screen later broken away by an intrusive corbelled brick tomb (of later date) which occupied half of the first compartment of Room 13. This was almost certainly an unroofed yard.",,,,,,
Room 13,http://ur.iaas.upenn.edu/location/481/,Room 13,Room 13,"Room 13 seems to have ended originally at the first cross-wall which, like the NW wall of Room 12 and of Room 13 up to this point has burnt brick foundations standing 1.00 m. high; then the cross-wall was partly dismantled and the NW wall carried on with a foundation of burnt bricks 0.25 m. high and mud brick above to abut on the outer wall of No. 1 Old Street. The area thus enclosed was divided into two by a second cross-wall (with burnt brick up to 1.30 m.) 1.80 m. long. The whole place was earth-floored and must have been a yard, but the two piers probably supported (together with wooden uprights?) a pent-house roof, making a row of three sheds open to the front; the entrance from Room 8, which was probably a servants' working-room, would be an obvious convenience.",,,,,,
Room 2,http://ur.iaas.upenn.edu/location/470/,Room 2,Room 2,"Central Court; Room 2, the courtyard, was paved with mixed bricks carelessly laid and had a central drain; clay floors of later date lay at 0.60 m. and at 0.90 m. above it. Near the north comer there was a rectangular enclosure of broken bricks and mud which was probably a stand for a pot and in the east corner was a similar stand. The walls, preserved up to 2.90 m., were heavily mud-plastered, but the mud bricks were of extraordinarily bad quality, crumbling and full of potsherds, except for the SW wall which was unusually good (bricks 0.26 m. X 0.165 m. X 0.07 m.) and must have been built at a different time. In the SW wall were two doors giving on the lavatory (Room 3) and on the stairs.",,,,,,
Room 3,http://ur.iaas.upenn.edu/location/471/,Room 3,Room 3,"Lavatory; Room 3 had a high threshold which had later been raised to 1.15 m. above the court pavement and its own pavement was 0.50 m. above that of the court; at the NW end, beyond the door-jamb, it was raised one course of bricks higher and near the NW wall was the drain intake; at one time a door was cut through the SW wall and the room served as the entrance-lobby of the house (this in an intermediate period when the street had already risen half a metre) but afterwards the door was walled up again and the room's use as a lavatory was restored with no apparent change in its floor level. Of the stairs only the bottom tread was preserved; at a time when the level of the courtyard had been raised and a clay floor laid down c. 1.00 m. above the original pavement a hole was dug into the filling of the lower part of the stairs and a terracotta bread-oven, diam. 0.65 m., was let into it, destroying all the treads; the earth round it was burnt to a deep red.",,,,,,
Room 4,http://ur.iaas.upenn.edu/location/472/,Room 4,Room 4,"Room 4, opening out of the court, was of irregular shape and only earth-floored; in the east corner were the remains of a circular clay hearth and the whole of the recess on the SW side was occupied by a low bench of brick with a rubble and mud filling which was
presumably a bed-stead.",,,,,,
Room 5,http://ur.iaas.upenn.edu/location/473/,Room 5,Room 5,"At the SE end was Room 5, a very small lavatory with a paved floor (most of the bricks missing) and a central drain; the walls here as elsewhere only abutted on the older boundary wall of Nos. 3 and 5 Church Lane.",,,,,,
Room 6,http://ur.iaas.upenn.edu/location/474/,Room 6,Room 6,"Guest Room; Room 6 was the guest-room; its door was unusually wide (1.20 m.), it was long and narrow and floored with clay; the walls, except on the SW, had burnt brick up to a height of 0.30 m. only; above this was mud brick, and matting had been laid between the mud bricks to give a through bond, an unusual thing in private buildings.",,,,,,
Room 7,http://ur.iaas.upenn.edu/location/475/,Room 7,Room 7,At the other end was another room (7) so small that it was probably but a passage to Room 10 with the rest of its space taken up by cupboard or press in its SW half.,,,,,,
Room 8,http://ur.iaas.upenn.edu/location/476/,Room 8,Room 8,"Room 8, opening off the central court, was earth-floored; a door in the NW wall presented certain difficulties in that its NE jamb was original whereas the SW jamb was cut and its rough wall-end plastered with mud; there was nothing to show that the SW part of the wall was older than the NE section and it may be merely that the door was at first narrow and was later cut to the (normal) width of 1.00 m. Below the floor were larnax graves LG/21 and LG/22.",,,,,,
LG/21 | AHG/43,http://ur.iaas.upenn.edu/location/690/,LG/21 | AHG/43,Larsa Grave 21,"Analysis of unpublished sources suggests
that LG/21 is associated with the ""Late"" phase of a two-phase"" occupational sequence in this structure; exact position of LG/21 in room is known.",AH Grave 43,,Larnax A,"45a (two), 48","NW x SE, head NW",
LG/22 | AHG/48,http://ur.iaas.upenn.edu/location/691/,LG/22 | AHG/48,Larsa Grave 22,"The grave lies high and belongs to the end of the Larsa period. Analysis of unpublished sources suggests
that LG/22 is associated with the ""Late"" phase of a two-phase occupational sequence in this structure; exact position of LG/22 in room is known.",AH Grave 48,,Larnax A,"41c, 51a, 69a, (two)","body on left side, flexed",
Room 9,http://ur.iaas.upenn.edu/location/477/,Room 9,Room 9,"Kitchen; Room 9 was unmistakeably the kitchen; it was clay-floored; in the north corner was a circular terracotta bread-oven (diam. 0.65 m.) and at the SW end a regular fire-place, a raised base of burnt brick having, in its top brickwork, channels for burning charcoal exactly like those of the modern Arab stove; a rough straight-sided clay bowl, diam. 0.55 m., lying inverted in the middle of the room may have belonged to a later phase. The room had undergone several changes. The SW wall, which went up in burnt brick to 1.80 m., was originally the outside wall of the house; at a later time a door was cut through it to Room 12, but then the door was blocked by a rough screen wall and finally, when the kitchen floor had risen 0.90 m. above its old level, the door was again opened. In the same SW wall, facing the court door, there were at 1.45 m. above floor level two holes in the brickwork which looked like lodgements for timbers but could not be explained.",,,,,,
No. 4 Straight Street,http://ur.iaas.upenn.edu/location/106/,No. 4 Straight Street,No. 4 Straight Street,"A solidly built and compact house with rooms symmetrically arranged about a central court: the exceptionally heavy walls suggest that this house may have stood to a considerable height, and that there may have been a heavy roof to support. The site was nearly rectangular but the SE wall ran askew, following the angle of Paternoster Row. The burnt-brick superstructure of the house stood in places as much as twenty-two courses high, and the high level of the top pavement suggests that most of this superstructure belonged to the end of the Larsa period, shortly before the destruction by Samsu-iluna. On the tops of some of the Larsa walls there were flimsy remains of burnt-brick walls of the Kassite period, and much of the Larsa brick-work had been torn down and levelled to make an even foundation for the walls of the Kassite house. On the other hand much of the evidence suggests that this house dated back to an ancient foundation in Third Dynasty times. The burnt-brick walls of the Larsa period followed along the lines of an older mud-brick structure, and between the pavement associated with this older building and that of the end of the Larsa period, there was an accumulation of more than 1.6 metres of debris. The rubbish in the courtyard underneath the late Larsa pavement consisted of decayed mud brick and contained carinated saucers of Third Dynasty type. In the SW wall there was an inscribed brick of Amar-Suena, but the fact that this wall did not go as deep as the boundary wall of No. 4 Paternoster Row and that the foundations of No. 4 Straight Street appeared to overlap the burnt-brick work of No. 4 Paternoster Row indicates that the latter was an earlier foundation still.; The brickwork and pavements in this room give a convenient summary of the history of this house which divides itself into four main periods: 1. The earliest foundation, mud brick walls and burnt brick pavements, probably going back to Third Dynasty; 2. Burnt brick superstructure erected over the mud brick foundations in the Larsa period, good burnt brick pavements associated, access given to No. 2 Straight Street by doorways in the SE wall; 3. Burnt brick pavement slightly raised, following the rise of Straight Street, doors in SE wall blocked up, end of the Larsa period; 4. Kassite period, flimsy burnt brick walls erected over the more solid foundations of the Larsa period.",House I,Isin-Larsa,,,,
LG/23.5 | AHG/94,http://ur.iaas.upenn.edu/location/805/,LG/23.5 | AHG/94,Larsa Grave 23.5,,AH Grave 94,,Not Recorded,,,
Room 1,http://ur.iaas.upenn.edu/location/482/,Room 1,Room 1,"Entrance Lobby; Room 1, the lobby, had a raised threshold which had followed the rise in level of Straight
Street.",,,,,,
Room 10,http://ur.iaas.upenn.edu/location/491/,Room 10,Room 10,"Room 10. This room, inconveniently narrow at the SW end had undergone modifications. In the second foundation a niche was made in the SE wall in order to widen the room, and in the latest (Kassite) period a flimsy burnt brick wall was built over the older burnt-brick foundations of the Larsa wall and made parallel to the NW wall in order to obtain a rectangular room. In the Larsa period there had been a door in the NE wall which was blocked in the Kassite period. The earliest burnt-brick pavement, contemporary with the mud brick walls of the early foundation had bricks measuring 0.275 X 0.18 X 0.07 m. The Kassite SE wall was only 0.75 m. thick and contained burnt-bricks measuring 0.24-0.25 X 0.16 X 0.065 m. and there were other bricks 0.185 and 0.15 m. wide.",,,,,,
Room 2,http://ur.iaas.upenn.edu/location/483/,Room 2,Room 2,"Central Court; Room 2, the courtyard had a sunken pavement in the middle with an impluvium, and under it a deep drain descending at least 4 metres below pavement level. The burnt-brick walls all rested on mud brick foundations, the latter were of poor quality mud bricks and very roughly built; the foundations of the NE wall were deeper than any other. In the SE corner of the court there was a heavy rectangular blocking of mud bricks, 0.26 X 0.165 X 0.075 m. very roughly laid. This blocking had obviously never had an exposed face, and was probably intended to serve as a kisui or support for the later party walls at this corner of the court where the foundations were of poor quality. The remains of two pavements were still preserved. The uppermost was built two courses above the footings of the burnt brick walls and consisted of mixed burnt-bricks, 0.30 sq. X 0.05 m. and 0.31 m. sq. This pavement probably belonged to the end of the Larsa period: the earlier pavement occurred no less than 1.6 m. below the upper pavement and contained burnt-bricks measuring 0.27 X 0.175 X 0.07 m. Between these two pavements there was a filling of ash and decayed mud brick, ll loosely packed, and evidently thrown in to effect the re-levelling which occurred when the burnt brick walls were erected over the older mud brick foundations at the end of the Larsa period. Below the level of the lowest pavement the soil was tightly packed and waterlogged and contained carinated sherds of Third Dynasty type. Under the foundations of the NE wall was the larnax grave LG/25,and 1.60 m. below the Larsa pavement were LG/2 6 and LG/27.",,,,,,
LG/25 | AHG/40,http://ur.iaas.upenn.edu/location/695/,LG/25 | AHG/40,Larsa Grave 25,"Analysis of available material suggests
that this grave is associated with the ""early"" phase of a two-phase LP occupational sequence; approximate location of grave in room is known.",AH Grave 40,,Larnax A,48; 114,"NW x SE, head NW.",
LG/26 | AHG/45,http://ur.iaas.upenn.edu/location/696/,LG/26 | AHG/45,Larsa Grave 26,1.60m. below pavement.,AH Grave 45,,Larnax A,78b,,
LG/27 | AHG/47,http://ur.iaas.upenn.edu/location/697/,LG/27 | AHG/47,Larsa Grave 27,"The larnax was propped up on burnt bricks 0.265m x 0.165m x 0.07m. Analysis of available sources suggest that LG/27 is associated with the ""early"" phase of a two-phase LP occupational sequence; approximate location of grave is known.",AH Grave 47,,Larnax,"outside: 5la, 69a (two), 74, 84, 88b.","NW x SE, body on rt. side, head NW",
LG/27.5 | AHG/36,http://ur.iaas.upenn.edu/location/698/,LG/27.5 | AHG/36,Larsa Grave 27.5,"Unpublished notes indicate that LG/27.5 is
associated with the ""early"" phase of a two- phase LP occupational sequence; approximate location of grave is known.",AH Grave 36,,"Larnax type C, small.",,Two infants; NE X SW.,
Room 3,http://ur.iaas.upenn.edu/location/484/,Room 3,Room 3,,,,,,,
LG/23 | AHG/34,http://ur.iaas.upenn.edu/location/699/,LG/23 | AHG/34,Larsa Grave 23,"Analysis of unpublished notes suggests that LG/23, along with LG/24, is associated with the ""early"" phase of a two-phase LP occupational sequence in this structure; approximate location of LG/23 in room is known.",AH Grave 34,,Larnax A,outside: 114,"NW x SE, body flexed, on rt. side, head NE",
LG/24 | AHG/35,http://ur.iaas.upenn.edu/location/700/,LG/24 | AHG/35,Larsa Grave 24,"Analysis of unpublished notes suggests that LG/24, along with LG/23, is associated with the ""early"" phase of a two-phase LP occupational sequence in this structure; approximate location of LG/23 in room is known.",AH Grave 35,,Larnax A,72b.,NW x SE.,
Room 4,http://ur.iaas.upenn.edu/location/485/,Room 4,Room 4,"Guest Room; Room 4, the guest-room, lay between the courtyard and the chapel; in it were the larnax grave LG/28 and an inhumation grave LG/29.",,,,,,
LG/28 | AHG/46,http://ur.iaas.upenn.edu/location/701/,LG/28 | AHG/46,Larsa Grave 28,"Analysis of available sources indicates
that LG/28 is associated with ""early"" phase of two-phase LP occupational sequence.",AH Grave 46,,Larnax A,,"body on rt. side, flexed.",
LG/29 | AHG/49,http://ur.iaas.upenn.edu/location/702/,LG/29 | AHG/49,Larsa Grave 29,"Below pavement. Unpublished information indicates that LG/29 is associated with an ""early"" phase of two-phase LP occupational sequence",AH Grave 49,,Inhumation.,83,"NE x SW, head NE, body on rt. side.",
Room 5,http://ur.iaas.upenn.edu/location/486/,Room 5,Room 5,"Lavatory; Room 5, the lavatory, had a blocked doorway onto Straight Street and may at one time have served as an entrance lobby; outside the SE wall were found the larnax graves LG/23 and 24.",,,,,,
Room 6,http://ur.iaas.upenn.edu/location/487/,Room 6,Room 6,"Chapel; Room 6, the chapel, had an altar in the form of a burnt-brick table built up against the NE wall and in the north corner there was a plain burnt-brick pillar built up against the altar. A shallow niche in the NW wall might have been a cupboard. Under the chapel floor was a corbelled brick grave LG/32, probably the family vault, and a number of larnax graves as well.",,,,,,
LG/32 | AHG/38,http://ur.iaas.upenn.edu/location/703/,LG/32 | AHG/38,Larsa Grave 32,Chapel.,AH Grave 38,,Corbelled brick tomb.,"lb, 45a, 51a, 69a, 72d, 86; outside tomb and not belonging to it; 109.","Disturbed, 4 skulls and mixed bones.",
LG/32.5 | AHG/26,http://ur.iaas.upenn.edu/location/704/,LG/32.5 | AHG/26,Larsa Grave  32.5,Chapel.,AH Grave 26,,Larnax,,,
LG/32.6 | AHG/41,http://ur.iaas.upenn.edu/location/705/,LG/32.6 | AHG/41,Larsa Grave 32.6,"Chapel. Analysis of unpublished material suggests grave is associated with ""early"" phase.",AH Grave 41,,Brick box grave.,,Brick box grave; contained bones.,
Room 7,http://ur.iaas.upenn.edu/location/488/,Room 7,Room 7,"In Room 7, the burnt-brick foundations in the SW wall, the boundary wall of the house, ran down five courses lower than the burnt-brick foundations in the other walls, and these five lower courses were bonded with the mud brick foundations of the NW wall of Room 6. In the burnt brick foundations of this wall there was an inscribed brick of Amar-Suena measuring 0.26 X 0.16 X 0.08 m.",,,,,,
Room 8,http://ur.iaas.upenn.edu/location/489/,Room 8,Room 8,"Room 8, probably a servant's room, gave access from the kitchen, Room 9, via Room 7 to the reception room and to the chapel. The lower burnt brick pavement was here well preserved, regularly laid with bricks measuring 0.27 X 0.18 X 0.07 m. As was shown by the bonding in Room 7 the deep burnt-brick foundations of the SW boundary wall were contemporary with five courses of mud brick in the adjacent walls, but all the mud brick-work below this level belonged to the earlier foundations with which was associated the well laid brick pavement noted above.",,,,,,
Room 9,http://ur.iaas.upenn.edu/location/490/,Room 9,Room 9,"Kitchen; Room 9 was the kitchen, or was at all events used as such during the early foundation of the house: there was a circular bread oven resting on a clay floor at the same level as the early burnt brick pavement in Room 8. It is possible that in the succeeding period the room ceased to be a kitchen, as at the normal level of the upper pavements there was a burnt-brick floor with bricks measuring 0.255-0.235 X 0.17-0.18 X 0.06-0.07 m, and below the floor a ruined corbel vaulted grave which had evidently been dug down below the level of this pavement. Presumably therefore at this period Room 9 had ceased to be a kitchen, for as such it would hardly have been used to house the family vault. In the SE wall there was a blocked doorway showing that at one time there had been access to No. 2 Straight Street 3 3 but that at the extreme end of the Larsa period the two houses were separate dwellings. There was a doorway of the same period in the SE wall of Room 1 which had been blocked at the same time as this. The mud brick walls of the early foundation contained bricks measuring 0.235-0.24 X 0.15 X 0.07 m, a size of brick freely used during the Third Dynasty, and at intervals matting had been used to obtain a through bond, a method characteristic of the pre-Larsa mud brick buildings. The burnt-brick footings of the SE wall were not bonded with the older mud brick substructure of the NE wall. The older mud brickwork had a thick coating of mud plaster.",,,,,,
LG/30 | AHG/50,http://ur.iaas.upenn.edu/location/706/,LG/30 | AHG/50,Larsa Grave 30,"The larnax rested on a bed of clay and bitumen.Unpublished notes indicate that LG/30, along with LG/31 and LG/31.6, is located in a pit which is associated with the ""late"" phase of a two-phase LP occupational sequence; exact location of LG/30 is known;(pictured on Plate 46B of UE7, which should read ""Room 9"" instead of ""court"").",AH Grave 50,,Larnax A,frags. of two vases and one saucer.,"Body on left side; head SW, orientated NW X SE, flexed.",
LG/31 | AHG/51,http://ur.iaas.upenn.edu/location/707/,LG/31 | AHG/51,Larsa Grave 31,"Unpublished notes indicate that LG/31, along with LG/30 and LG/31.6, is located in a pit which is associated with the ""late"" phase of a two-phase LP occupational sequence; exact location of LG/31 is known; (pictured on Plate 46B of UE7, which should read ""Room 9"" instead of ""court"").",AH Grave 51,,Larnax A,"outside: 45a (two), 53, 69a.","E x W, body on rt. side, flexed, head E x S. The larnax carelessly placed so that skull and legs protruded beyond it.",
LG/31.5 | AHG/52,http://ur.iaas.upenn.edu/location/708/,LG/31.5 | AHG/52,Larsa Grave 31.5,Lower than and disturbed by AHG/51,AH Grave 52,,inhumantion,,Not recorded,
LG/31.6 | AHG/53,http://ur.iaas.upenn.edu/location/692/,LG/31.6 | AHG/53,Larsa Grave 31.6,"Unpublished notes indicate that LG/31.6, along with LG/31 and LG/30, is located in a pit which is associated with the ""late"" phase of a two-phase LP occupational sequence;(pictured on Plate 46B of UE7, which should read ""Room 9"" instead of ""court"").",AH Grave 53,,Reburial,,At least two individuals.,
LG/31.7 | AHG/54,http://ur.iaas.upenn.edu/location/709/,LG/31.7 | AHG/54,Larsa Grave 31.7,,AH Grave 54,,Larnax,,,
No. 5 Straight Street,http://ur.iaas.upenn.edu/location/115/,No. 5 Straight Street,No. 5 Straight Street,"A doorway (late) at the end of Straight Street led into a narrow unpaved passage between the walls of Nos. 3 and 7 into a rectangular paved enclosure which seems to have been kept as an open space during the main occupation-period of the quarter. Older walls were found below its floor level which divided the area into four compartments, in one of which was a corbel-vaulted tomb, but these walls were not necessarily contemporary with each other and did not appear to have any connection with the walls bounding the space; if the tops of them served as the foundations for light walls of sheds - as is possible - there is nothing to prove this, and the plan as given must be taken to have no real meaning. The existence of an open court in the middle of the houses, attached to one of them and used for some such purpose as stalling animals, is not surprising.",,Isin-Larsa,,,,
No. 6 Straight Street,http://ur.iaas.upenn.edu/location/120/,No. 6 Straight Street,No. 6 Straight Street,"The house as it stands was contemporary with the main occupation-period of No. 4 across the street,3 5 but the existing burnt-brick walls were built over and virtually reproduced the mud-brick walls of an earlier structure of the same character. With the rise of the street level the floor of the house was raised by 0.80 m. and a new threshold was put in, approached by a flight of steps from Straight Street which gave a sill 1.30 m. above the original street level. The whole front of the house has been razed to floor level.",,Isin-Larsa,,,,
Room 1,http://ur.iaas.upenn.edu/location/492/,Room 1,Room 1,"Room 1 was paved, but most of the bricks were gone; the NE and SW walls were destroyed but the jamb on the SE wall showed the wall's position.",,,,,,
Room 2,http://ur.iaas.upenn.edu/location/493/,Room 2,Room 2,In Room 2 there was no trace of paving left. In the SE wall a niche (not original) had been cut to take the flap of the open door; the NE and SW walls were destroyed; the SW wall had no older mud brick below its foundations. At 0.80 m. below the floor level there was a brick pavement with central drain which must have belonged to the earlier mud-brick stage of the house.,,,,,,
Room 3,http://ur.iaas.upenn.edu/location/494/,Room 3,Room 3,"Room 3; the exact position of the door from Room 2 was uncertain; no pavement was left. The SW wall rested on older mud brick and had at its west end a shallow niche and at its south end a door to Room 4; against the NE wall was a line of brickwork, possibly from the pavement?",,,,,,
Room 4,http://ur.iaas.upenn.edu/location/495/,Room 4,Room 4,"Room 4 had all its walls resting on older mud brick; there was none of the pavement left, but below floor level the whole area of the room was taken up by a large corbel-vaulted brick tomb, LG/33, and two pot burials, LG/34 and 35.",,,,,,
LG/33 | AHG/170,http://ur.iaas.upenn.edu/location/710/,LG/33 | AHG/170,Larsa Grave 33,"Analysis of available sources indicates that this structure possesses a two-phase LP occupational sequence, ""early"" and ""late""; this grave may be associated with the ""early"" phase.",AH Grave 170,,Corbel- vaulted tomb,"44, 57a, 69a. (eight).",Contained disordered remains of five bodies,
LG/34 | AHG/192,http://ur.iaas.upenn.edu/location/711/,LG/34 | AHG/192,Larsa Grave 34,This grave and LG/35 were inside a low vault(?) of mud brick.,AH Grave 192,,Pot burial,84,Disturbed: skull only.,
LG/35 | AHG/193,http://ur.iaas.upenn.edu/location/712/,LG/35 | AHG/193,Larsa Grave 35,,AH Grave 193,,Pot burial,71,Disturbed,
No. 7 Straight Street,http://ur.iaas.upenn.edu/location/125/,No. 7 Straight Street,No. 7 Straight Street,"A very small house, probably of one storey only. The outer walls were bonded together and were probably all of one date. They were of good quality, that on the NE having shallow external buttresses, and their foundations went down deep below the pavement level whereas the internal walls had only three courses below the pavement, but that seems to have been due to the house level being high from the beginning; it seems to have dated from the time when the threshold of the front door of No. 3 Straight Street was raised to meet the rise in the street's surface.",,Isin-Larsa,,,,
Room 1,http://ur.iaas.upenn.edu/location/496/,Room 1,Room 1,"Entrance Lobby; The front lobby (1) was an addition, made by running a new wall out from the west corner of No. 3's outbuildings to the end buttress of the wall of No. 12; it cut across an existing (rather thin) wall which now formed the NE side of the lobby; the floor was paved with burnt bricks 0.23 m. X 0.15 m., a size characteristic of the Third Dynasty and suggesting that the builders had availed themselves of material derived from some old building.",,,,,,
Room 2,http://ur.iaas.upenn.edu/location/497/,Room 2,Room 2,"Central Court; Room 2 was the central court, brick-paved with a drain in the middle; against the SE wall was a block of burnt brickwork 0.45 m. high and between it and the threshold of Room 3 was a pot burial LG/36, at 0.70 m. underneath the pavement.",,,,,,
